BUYSUBSIDIARYPAY,NIPLEDGELOAN,DISPOSALINVREC,INVFLOWOUTOTHER,ISSUEBONDREC,OPERATEFLOWOUTBALANCE,OPERATEFLOWINOTHER,NIBUYBACKFUND,NDLOANADVANCES,GETSUBSIDIARYPAY,OPERATEFLOWBALANCE,BUYGOODSSERVICEPAY,SUBSIDIARYACCEPT,SUMOPERATEFLOWIN,EMPLOYEEPAY,INVFLOWOTHER,NETINVCASHFLOW,NIDEPOSITINCBANKFI,DISPSUBSIDIARYREC,EFFECTEXCHANGERATE,CASHEQUIENDING,FINAFLOWBALANCE,SUMINVFLOWIN,FINAFLOWOUTBALANCE,INTANDCOMMPAY,CASHEQUIENDINGBALANCE,INVINCOMEREC,REDUCEPLEDGETDEPOSIT,NIINSUREDDEPOSITINV,SALEGOODSSERVICEREC,TAXRETURNREC,SUMOPERATEFLOWOUT,OTHEROPERATEREC,NETRIREC,SUMINVFLOWOUT,NETOPERATECASHFLOW,SUBSIDIARYREDUCTCAPITAL,STARTDATE,LATESTNOTICEDATE,OPERATEFLOWINBALANCE,INTANDCOMMREC,NILOANADVANCES,NICASHEQUI,NIBORROWFROMFI,PREMIUMREC,NICASHEQUIBALANCE,SUMFINAFLOWOUT,INVPAY,CASHEQUIENDINGOTHER,ISLISTINGREPORT,REPORTDATE,GROUPID,OTHERFINAREC,FINAFLOWINBALANCE,FINAFLOWINOTHER,OPERATEFLOWOUTOTHER,NIBORROWFROMCBANK,ENDDATE,NICASHEQUIOTHER,INVFLOWOUTBALANCE,OTHERFINAPAY,ACCEPTINVREC,FIRSTNOTICEDATE,REPAYDEBTPAY,SUMFINAFLOWIN,DISPFILASSETREC,INVFLOWINBALANCE,OPERATEFLOWOTHER,NIDEPOSIT,NETFINACASHFLOW,DIVIPAY,NIBORROWFUND,OTHEROPERATEPAY,CASHEQUIBEGINNING,FINAFLOWOUTOTHER,NIDISPTRADEFASSET,INVFLOWBALANCE,BUYFILASSETPAY,LOANREC,SUBSIDIARYPAY,ADDPLEDGETDEPOSIT,FINAFLOWOTHER,INDEMNITYPAY,OTHERINVREC,TAXPAY,DIVIPROFITORINTPAY,OTHERINVPAY,INVFLOWINOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE
,,,,,0,,,,,0,25795835427,,35930003088,3903068354,,-9295060591,,,40775242.42,3219240365,0,7389772.35,0,,0,,,,33905289111,952999019.4,31169342268,1071714957,,9302450364,4760660820,,2019-1-1,2021-3-13,0,,,-465110305,,,0,11097166576,,,1,2019-12-31,,,0,,,,2020-12-31,,0,191600000,,2020-3-18,9816775700,15125680800,4724716.35,0,,,4028514224,,,847644558.8,3684350670,,,0,9302450364,15125680800,,,,,2665056,622793928.4,1088790876,,,CNY,10004133,合并,年度报告,年度报告
,,217105525.3,,,0,,178523067.5,,22317136.37,0,16400280605,,21485664777,1699288708,,-1493453441,6691768.47,1616216.66,-9156865.3,1965285353,0,2733120899,0,10271151.9,0,193975675.8,,,20980407846,2182833.78,19264347683,302419439.1,,4226574340,2221317093,,2019-1-1,2020-3-10,0,36016201.19,,58684800.78,,,0,6040039125,409975737.2,,1,2019-12-31,,342669213.9,0,,,,2019-12-31,,0,,,2020-3-10,5529172358,5380017139,423481.41,0,,-13884611.01,-660021986.5,,,291255436.7,1906600552,,,0,2024281466,5037347925,12304566.46,,,,2320000000,856560013.7,510866766.7,1770000000,,CNY,10004141,合并,年度报告,年度报告
,,3923723562,,,0,,,,,0,303626741.5,,784472531.5,336501908.8,,404180463.2,,,,772109930.9,0,4032859456,0,,0,108390658.7,,,710203672.3,1609773.43,771496504.2,72659085.83,,3628678993,12976027.34,,2019-1-1,2020-3-9,0,,,573424557.8,,,0,17137553.56,3491200000,,1,2019-12-31,,,0,,,,2019-12-31,,0,,,2020-3-9,,173405620.8,745235.5,0,,,156268067.2,,,96011976.34,198685373.1,,,0,137478992.6,173405620.8,,,,,,35355877.55,17137553.56,,,CNY,10007198,合并,年度报告,年度报告
,,,,,0,,,,,0,2954091803,,5261612944,452579307.2,,288592451.6,,,-2363838.46,765367297.8,0,719714094.2,0,,0,2610000,,,4898420011,8259063.15,4659375875,354933870.4,,431121642.6,602237069,,2019-1-1,2020-3-11,0,,,579195386.2,,,0,5067217937,,,1,2019-12-31,,45971606.77,0,,,,2019-12-31,,0,467965313.3,,2020-3-11,4327002309,4757947641,287654372,0,,,-309270296,,,1015080641,186171911.5,,,0,431121642.6,4711976034,,,,,429449722.2,237624124.2,272250314.7,,,CNY,10007220,合并,年度报告,年度报告
,,,,,0,,,,,0,475490097.9,,854398038.2,77228814.82,,7505395.56,,,2691465.21,1176497830,0,11243064.34,0,,0,,,,825918837.8,9238544.67,640010803.6,19240655.71,,3737668.78,214387234.6,,2019-1-1,2020-3-10,0,,,170652986,,,0,53931109.3,,,1,2019-12-31,,,,,,,2019-12-31,,0,,,2020-3-10,,,11243064.34,0,,,-53931109.3,,,29017760.73,1005844844,,,0,3737668.78,,34000000,,,,,58274130.17,53931109.3,,,CNY,10005858,合并,年度报告,年度报告
,,299500000,,,0,,,,,0,5831679482,,8621194830,1126844997,,153917964.4,,,4444749.14,1518184943,0,410223211.6,0,,0,97138069.32,,,8409161421,137591636.2,7767522733,74441772.7,,256305247.3,853672096.8,,2019-1-1,2021-3-20,0,,,660640179.4,,,0,351394630.9,43000000,,1,2019-12-31,,,,,,,2020-12-31,,0,8132665,,2020-3-14,1749997,,4156636.47,0,,,-351394630.9,,,379903605.7,857544764,,,0,213305247.3,,71415000,,,,9428505.83,429094648,341511968.9,,,CNY,10004205,合并,年度报告,年度报告
,,3170259251,,,0,,,,,0,3374034968,,8277487620,1068217218,,-120806724.3,,,-3590075.3,1499020557,0,3364116267,0,,0,38804330.93,,,7953314978,,7528730706,324172642.1,,3484922992,748756914.2,,2019-1-1,2021-2-3,0,,,438493748.1,,,0,221058397.3,3300000000,,1,2019-12-31,,35192030.77,0,,,,2020-12-31,,0,,0,2020-2-20,0,35192030.77,155052685.4,0,,,-185866366.5,,,2535100558,1060526809,,,0,184922991.8,0,,,,,,551377961.7,221058397.3,,,CNY,10002508,合并,年度报告,年度报告
,,21007000000,,,0,,,,1285400000,0,79981020000,165540000,1.05253E+11,4531880000,,-8020500000,,700450000,17350000,10576620000,0,24153400000,0,,0,664710000,,,1.04303E+11,49080000,90942050000,900680000,,32173900000,14310730000,,2019-1-1,2021-3-23,0,,,277460000,,,0,39018790000,20791260000,,1,2019-12-31,,9858200000,0,,,,2020-12-31,,0,10937590000,165540000,2020-3-13,24282910000,32988670000,410770000,0,,,-6030120000,,,2047380000,10299160000,,,0,8910860000,22964930000,2186380000,,,,1370470000,4381770000,3798290000,1186380000,,CNY,10634814,合并,年度报告,年度报告
,,568932128.8,,,0,,,,,0,845577690.9,,1632140655,227975138.1,,28324738.75,,,,637539003.2,0,603344381.1,0,,0,13600000,,,1485570323,,1275421814,146570331.8,,575019642.3,356718841,,2019-1-1,2021-3-26,0,,,178180836.1,,,0,375740243.7,250000000,,1,2019-12-31,,18877500,0,,,,2020-12-31,,0,,,2020-3-7,229530000,168877500,20812252.31,0,,,-206862743.7,,,111340957.4,459358167.1,,,0,325019642.3,150000000,,,,,,90528027.58,146210243.7,,,CNY,10002339,合并,年度报告,年度报告
,,802411348.6,,,0,,,,,0,3064862768,,3836075373,187037679.2,,-337197973.8,,,605946.13,676755138.1,0,3186460380,0,25385805.44,0,36464356.74,,,3634021967,3278507.43,3453100361,118781969.6,,3523658354,382975012,,2019-1-1,2020-3-17,0,79992928.53,,-598553302.2,,,0,3301805490,1099354387,,1,2019-12-31,,20000000,0,,,,2019-12-31,,0,96372344.62,,2020-3-17,3056970080,2656869204,483886.68,0,,,-644936286.6,,,82483264.78,1275308440,,,0,339303966.6,2636869204,23162791.53,,,,2347100788,93330843.39,148463065.9,2085000000,,CNY,10007248,合并,年度报告,年度报告
