NETPROFIT,FIRSTNOTICEDATE,INTEXP,INVESTINCOME,SURRENDERPREMIUM,TOTALOPERATEREVE,DILUTEDEPS,NONOPERATEREVE,NETCONTACTRESERVE,EXCHANGEINCOME,NONOPERATEEXP,PARENTOTHERCINCOME,COMMEXP,PREMIUMEARNED,SUMPROFIT,MINORITYCINCOME,COMBINEDNETPROFITB,INCOMETAX,MINORITYINCOME,TOTALOPERATEEXPOTHER,PARENTNETPROFIT,OTHERREVE,SALEEXP,BASICEPS,STARTDATE,PARENTCINCOME,POLICYDIVIEXP,SUMCINCOME,OTHEREXP,FVALUEINCOME,COMMREVE,FINANCEEXP,NETINDEMNITYEXP,OPERATEEXP,NONLASSETNETLOSS,INVESTJOINTINCOME,NETPROFITOTHER2,OPERATEREVE,OTHERCINCOME,TOTALOPERATEREVEOTHER,RDEXP,ASSETDEVALUELOSS,LATESTNOTICEDATE,OPERATETAX,OPERATEPROFIT,RIEXP,TOTALOPERATEEXP,INTREVE,MANAGEEXP,OPERATEPROFITBALANCE,MINORITYOTHERCINCOME,REPORTDATE,ENDDATE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,INVESTEDCANTREC,OTHERCINCOMEOTHER,FVALUEOSALABLE,OTHERCINCOMEREC,CANTRECOTHER,INVESTEDREC,OTHERCINCOMECANTREC,RECOTHER,REMEDEFINEDBENEFIT,DIFFCONVERSIONFC,SUMCINCOMEOTHER,TERMINATIONONPROFIT,MIOTHERINCOME,CONTINUOUSONPROFIT,ADISPOSALINCOME,OFWINTREVE,CREDRISKFVALUE,OTHCREDINVCRED,OTHCREDINVFVALUE,OFWINTEXP,NETEXHEDGINCOME,CREDDEVALUELOSS,OTHEREQUITYINVFVALUE,FASSETRECOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE,ACF_END_INCOME,CREDIT_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME
295357744.3,2020-3-17,,46584673.23,,3874245058,1.03,7290804.83,,,1521109.95,21418.48,,,327269873,-24651140.58,,31912128.71,-24651140.58,,320008884.8,,96994848.13,1.03,2019-1-1,320030303.3,,295379162.7,,53816027.33,,28381329.65,,3199654143,,19083121.53,,3874245058,21418.48,,,,2020-3-17,195383437.6,321500178.1,,3664073498,,143659738.8,0,,2019-12-31,2019-12-31,,,,,,21418.48,,,,,,21418.48,,,9251870.43,295357744.3,172061.64,8671545.64,,,,40620855.14,,,,,CNY,10002275,合并,年度报告,年度报告,,2905527.72,-1401543.12
83425208.66,2020-3-9,,76672819.95,,678617407.9,0.0723,1848663.44,,,4234118.27,-2949988.05,,,85273364.94,-523795.19,,1848156.28,-523795.19,,83949003.85,,139371697.7,0.0723,2019-1-1,80999015.8,,80475220.61,,22455475.85,,-8792535.81,,445696990.1,,19402406.83,,678617407.9,-2949988.05,,2947332.36,,2020-3-9,12787766.32,87658819.77,,726607198.2,,134595947.5,0,,2019-12-31,2019-12-31,,,-174006.68,,,-746568.57,,,-2203419.48,,,-746568.57,,,31851750.21,83425208.66,1674265.34,9238635.51,,,,,,,-2029412.8,,CNY,10007198,合并,年度报告,年度报告,,3104633.32,-110334.57
313242824.3,2020-3-11,,-6834139.81,,7105943359,0.23,4664321.33,,,37721846.17,,,,384177842.3,,,70935018.01,,,313242824.3,,316894390.6,0.23,2019-1-1,313242824.3,,313242824.3,,,,103854047.1,,5762286928,,3090127.42,,7105943359,,,225033508.8,,2020-3-11,46375002.48,417235367.1,,6713535443,,259091566.1,0,,2019-12-31,2019-12-31,,,,,,,,,,,,,,,100329679,313242824.3,127035.94,5236774.25,,,,94826273.1,,,,,CNY,10007220,合并,年度报告,年度报告,,-22194298.94,-46600825.34
83125223.98,2020-3-10,,,,1041419721,0.0689,290120.88,,,18101.41,,,,115721708.5,28191847.07,,32596484.53,28191847.07,,54933376.91,,8968086.09,0.0689,2019-1-1,54933376.91,,83125223.98,,,,-15917436.61,,886410697.7,,,,1041419721,,,9467387.55,,2020-3-10,6466787.23,115449689,,927077474.6,,31681952.64,0,,2019-12-31,2019-12-31,,,,,,,,,,,,,,,1608508.3,83125223.98,1389753.85,15352103.52,,,,,,,,,CNY,10005858,合并,年度报告,年度报告,,5334938.74,-7225757.79
777004255,2020-3-14,,95792399.86,,10130234609,0.88,29531900.91,,,4292435.97,532947.23,,,906755975.6,125739211.5,,129751720.6,125660822.1,,651343432.9,,492903309.2,0.88,2019-1-1,651876380.1,,777615591.6,,15009298.62,,2612492.74,,7972506122,,-1120669.46,,10130234609,611336.67,,492442679.8,,2021-3-20,80583317.32,881516510.6,,9385358520,,344310599.1,0,78389.44,2019-12-31,2020-12-31,,,,,,532947.23,,,,,,532947.23,,,29381104.04,777004255,1348723.72,9428505.83,,,,16294939.05,,,,,CNY,10004205,合并,年度报告,年度报告,,-2277959.9,-2613144.81
557091142.5,2020-2-20,,153990706.2,,7596951823,0.83,2748261.74,,,969095.42,66712720.05,,,701994306.2,,,144903163.7,,,557091142.5,,3204126279,0.83,2019-1-1,623803862.5,,623803862.5,,84280752.66,,31418065.31,,2896002829,,115186414.5,,7596951823,66712720.05,,172829946.4,,2021-2-3,53581956.34,700215139.8,,7299744333,,941785257.1,0,,2019-12-31,2020-12-31,,6341796.91,,,,69984171.23,,,-3271451.18,,-3271451.18,63642374.32,,,99990271.79,557091142.5,138264610.2,17560953.03,,,,61869160.64,,,,,CNY,10002508,合并,年度报告,年度报告,,-68516256.9,-5002434.17
8353940000,2020-3-13,,1351630000,,88652180000,1.12,243370000,,,130280000,26000000,,,10791950000,5451630000,,2438010000,5448360000,,2905580000,,1321420000,1.12,2019-1-1,2931580000,,8383210000,,805730000,,1390180000,,73221450000,,1013420000,,88652180000,29270000,,504320000,,2021-3-23,539730000,10678860000,,80269580000,,3292480000,0,3270000,2019-12-31,2020-12-31,,,,,,34590000,,2080000,-8590000,380000,,32130000,,182990000,247260000,8170950000,-30200000,274810000,,,,1357600000,,,-8590000,,CNY,10634814,合并,年度报告,年度报告,,-58800000,-19360000
100733724.9,2020-1-15,,33747242.22,,1607699267,0.2365,2655378.35,,,8785093.74,,,,116148181.4,1047562.59,,15414456.48,1047562.59,,99686162.28,,7445119.77,0.2365,2019-1-1,99686162.28,,100733724.9,,,,-12805184.52,,1420309139,,27245562.92,,1607699267,,,,,2021-1-20,23388408.31,122277896.7,,1513781759,,75444275.87,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,4071583.48,100733724.9,110548.8,-13308700.12,,,,216369.43,,,,,CNY,10002325,合并,年度报告,财务报告,,-9568986.15,
185178596.5,2020-3-7,,20404306.53,,1306910763,0.19,7532833.99,,,7460949.09,102393.81,,,221195129.6,-6493614.84,,36016533.19,-6495737.14,,191674333.6,,86956.95,0.19,2019-1-1,191776727.4,,185283112.6,,30309646.51,,46849358.13,,1067247426,,17546797.55,,1306910763,104516.11,,,,2021-3-26,11939748.85,221123244.7,,1226738460,,100614969.8,0,2122.3,2019-12-31,2020-12-31,,,,,,,,,102393.81,,102393.81,,,,81661856.98,185178596.5,14837376.67,4929056.55,,,,45963067.71,,,,,CNY,10002339,合并,年度报告,年度报告,,-6262245.03,
148142789.4,2020-3-17,,76437115.7,,3411652508,,7199576.01,,,2132758.97,633716.46,,,196493490.7,28988178.42,,48350701.28,28988178.42,,119154611,,102570803.7,0.1131,2019-1-1,119788327.5,,148776505.9,,-23456094.03,,42798881.69,,2983534429,,3871931.78,,3411652508,633716.46,,,,2020-3-17,13823914.63,191426673.7,,3296297412,,153569382.7,0,,2019-12-31,2019-12-31,,,,,,633716.46,,,,,,633716.46,,,26491290.92,148142789.4,106464.4,16784490.59,,,,58884224.19,,,,,CNY,10007248,合并,年度报告,年度报告,,-1105253.36,-2401945.74
274376207.7,2020-2-28,,10680305.6,,2599724041,0.54,2212901.77,,,1754843.18,,,,308375247,5259658.22,,33999039.34,5259658.22,,269116549.5,,114567829.6,0.54,2019-1-1,269116549.5,,274376207.7,,969863.02,,395498.38,,1970735268,,,,2599724041,,,101190953.3,,2021-2-9,16822607.77,307917188.4,,2300317747,,96605590.12,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,23508515.3,274376207.7,23134.69,5314121.05,,,,5586127.57,,,,,CNY,10007249,合并,年度报告,年度报告,,-8310886.92,-18360037.26
-530155917.2,2020-3-3,,-15391188,,336451347.1,,406700.55,,,312178024.1,,,,-529196847.3,429025.45,,959069.84,429025.45,,-530584942.6,,23492609.05,-0.86,2019-1-1,-530584942.6,,-530155917.2,,,,183751700.4,,208875467.4,,,,334989774.9,,,,,2021-2-23,7000317.08,-217425523.8,,493470450.6,1461572.15,70350356.75,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,1422513.12,-530155917.2,162084.68,555997.06,,,,184239957.7,,,,,CNY,10004062,合并,年度报告,年度报告,,-44446451.71,-2153378.36
13576953.71,2020-3-13,,,,2546400307,0.104,45495764.52,,,593438.17,,,,39824462.6,-10035009.26,,26247508.89,-10035009.26,,23611962.97,,27947398.49,0.104,2019-1-1,23611962.97,,13576953.71,,,,14930469.15,,2426104670,,,,2546400307,,,25972205.06,,2021-3-23,8278324.59,-5077863.75,,2586429838,,83196770.12,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,356098.08,13576953.71,-164399.91,1984749.49,,,,16454422.92,,,,,CNY,10005739,合并,年度报告,年度报告,,38647380.28,-3887411.54
47839224.15,2020-3-17,,84316600.6,,3375870425,0.05,6657951.14,,,6118485.4,265578.39,,,55103603.79,14218615.53,,7264379.64,14218615.53,,33620608.62,,239531495.4,0.05,2019-1-1,33886187.01,,48104802.54,,387237.5,,89336774.27,,2833373214,,-6481623.73,,3375870425,265578.39,,101903912.9,,2021-3-23,21918137.97,54564138.05,,3429784091,,143720555.6,0,,2019-12-31,2020-12-31,,,,,,,,,265578.39,,,,,,82805254.13,47839224.15,4606389.46,7986062.2,,,,102254692.8,,,265578.39,,CNY,10005747,合并,年度报告,年度报告,,-58921664.87,-4716013.41
