resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20191231610000D45,2019/12,合并,年报,all,610000,D45
20191231110000C14,2019/12,合并,年报,all,110000,C14
20190930430000I65,2019/09,合并,季报,all,430000,I65
20190930330000C34,2019/09,合并,季报,all,330000,C34
20190930210000C14,2019/09,合并,季报,all,210000,C14
20190930360000D46,2019/09,合并,季报,all,360000,D46
20190930510000D45,2019/09,合并,季报,all,510000,D45
20190930440000C41,2019/09,合并,季报,all,440000,C41
20200630440000M73,2020/06,合并,半年报,all,440000,M73
20200630340000C22,2020/06,合并,半年报,all,340000,C22
20191231120000M74,2019/12,合并,年报,all,120000,M74
20200630310000E50,2020/06,合并,半年报,all,310000,E50
20190331350000C18,2019/03,合并,季报,all,350000,C18
20190630120000C29,2019/06,合并,半年报,all,120000,C29
20190630320000C32,2019/06,合并,半年报,all,320000,C32
20200930420000F51,2020/09,合并,季报,all,420000,F51
20190930310000C13,2019/09,合并,季报,all,310000,C13
20190331450000C38,2019/03,合并,季报,all,450000,C38
20200630230000A01,2020/06,合并,半年报,all,230000,A01
20190630410000Q85,2019/06,合并,半年报,all,410000,Q85
20190630410000R85,2019/06,合并,半年报,all,410000,R85
20200930350000G55,2020/09,合并,季报,all,350000,G55
20200930520000G56,2020/09,合并,季报,all,520000,G56
20200930450000A04,2020/09,合并,季报,all,450000,A04
20190930210000I65,2019/09,合并,季报,all,210000,I65
20190930360000C37,2019/09,合并,季报,all,360000,C37
20200630430000C26,2020/06,合并,半年报,all,430000,C26
20190930330000D45,2019/09,合并,季报,all,330000,D45
20190331610000R90,2019/03,合并,季报,all,610000,R90
20190331610000S90,2019/03,合并,季报,all,610000,S90
20190930430000C14,2019/09,合并,季报,all,430000,C14
20200930440000C32,2020/09,合并,季报,all,440000,C32
20200630500000C30,2020/06,合并,半年报,all,500000,C30
20200630370000C33,2020/06,合并,半年报,all,370000,C33
20200930320000R86,2020/09,合并,季报,all,320000,R86
20190331540000N78,2019/03,合并,季报,all,540000,N78
20190630530000F52,2019/06,合并,半年报,all,530000,F52
20200630320000C41,2020/06,合并,半年报,all,320000,C41
20190630610000J69,2019/06,合并,半年报,all,610000,J69
20200930310000B11,2020/09,合并,季报,all,310000,B11
20190930620000C39,2019/09,合并,季报,all,620000,C39
20190331140000D44,2019/03,合并,季报,all,140000,D44
20191231130000C33,2019/12,合并,年报,all,130000,C33
20190331610000J67,2019/03,合并,季报,all,610000,J67
20200630520000J66,2020/06,合并,半年报,all,520000,J66
20200930460000I64,2020/09,合并,季报,all,460000,I64
20200930510000C36,2020/09,合并,季报,all,510000,C36
20200331230000C32,2020/03,合并,季报,all,230000,C32
20190930430000C29,2019/09,合并,季报,all,430000,C29
20200331110000B09,2020/03,合并,季报,all,110000,B09
20191231500000F52,2019/12,合并,年报,all,500000,F52
20190331350000G54,2019/03,合并,季报,all,350000,G54
20191231430000D44,2019/12,合并,年报,all,430000,D44
20200331620000C38,2020/03,合并,季报,all,620000,C38
20200331320000L72,2020/03,合并,季报,all,320000,L72
20190331440000C33,2019/03,合并,季报,all,440000,C33
20190630330000E48,2019/06,合并,半年报,all,330000,E48
20191231460000C36,2019/12,合并,年报,all,460000,C36
20200630620000C36,2020/06,合并,半年报,all,620000,C36
20191231340000C311,2019/12,合并,年报,all,340000,C31
20191231340000C31,2019/12,合并,年报,all,340000,C31
20190331510000C37,2019/03,合并,季报,all,510000,C37
20190331360000C34,2019/03,合并,季报,all,360000,C34
