PARENTCINCOME,NONOPERATEREVE,ENDDATE,PARENTNETPROFIT,REVEOTHER,INTNREVE,STARTDATE,REPORTDATE,INVESTJOINTINCOME,OPERATETAX,INCOMETAX,COMMEXP,OTHERREVE,FVALUEINCOME,BASICEPS,OTHERCINCOME,SUMCINCOME,OPERATEPROFIT,SUMPROFIT,COMMREVE,OPERATEMANAGEEXP,COMMNREVE,#N/A,OPERATEEXP,MINORITYCINCOME,INVESTINCOME,OPERATEEXPOTHER,NETPROFIT,MINORITYINCOME,LATESTNOTICEDATE,NONOPERATEEXP,INTEXP,INTREVE,EXCHANGEINCOME,DILUTEDEPS,FIRSTNOTICEDATE,OTHEREXP,ASSETDEVALUELOSS,OTHERCINCOMEREC,REMEDEFINEDBENEFIT,OTHERCINCOMEOTHER,OTHERCINCOMEBALANCE,DIFFCONVERSIONFC,RECOTHER,CANTRECOTHER,OTHERCINCOMECANTREC,INVESTEDREC,EFFECTIVECAFLHEDGING,INVESTEDCANTREC,MINORITYOTHERCINCOME,PARENTOTHERCINCOME,MIOTHERINCOME,CONTINUOUSONPROFIT,ADISPOSALINCOME,CURRENCY,COMBINETYPE,REPORTSOURCETYPE,COMPANYCODE,REPORTTIMETYPE,CREDDEVALUELOSS,FINANCE_OCI_AMT,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,CREDITRISK_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE
54525000000,116000000,2019-12-31,53819000000,,97943000000,2019-1-1,2019-12-31,,1772000000,9814000000,4729000000,4744000000,1437000000,1.22,668000000,55592000000,64932000000,64738000000,57024000000,48244000000,52295000000,1.80441E+11,1.15509E+11,1067000000,20874000000,184000000,54924000000,1105000000,2020-3-31,310000000,1.52781E+11,2.50724E+11,2651000000,1.22,2020-3-31,2502000000,,674000000,,,,46000000,654000000,32000000,32000000,,-26000000,,-38000000,706000000,497000000,,,CNY,合并,年度报告,10002264,年度报告,62807000000,,,,1144000000,,
96560000000,317000000,2020-12-31,92867000000,,1.7309E+11,2019-1-1,2019-12-31,1723000000,2348000000,23709000000,7554000000,5706000000,384000000,3.62,3759000000,97182000000,1.17047E+11,1.17132E+11,79047000000,86541000000,71493000000,2.69703E+11,1.52656E+11,622000000,15771000000,93000000,93423000000,556000000,2021-3-20,232000000,1.19904E+11,2.92994E+11,3259000000,3.62,2020-3-21,2608000000,,3758000000,1000000,,,497000000,2995000000,,1000000,368000000,-102000000,,66000000,3693000000,,,,CNY,合并,年度报告,10002271,年度报告,61066000000,,,,146000000,,
50107000000,327000000,2020-12-31,48015000000,,1.46925E+11,2019-1-1,2019-12-31,102000000,1854000000,7551000000,5900000000,-121000000,-373000000,0.95,2202000000,51196000000,56511000000,56545000000,32630000000,51964000000,26730000000,1.87584E+11,1.31073E+11,1089000000,12122000000,576000000,48994000000,979000000,2021-3-26,293000000,1.41227E+11,2.88152E+11,2194000000,0.89,2020-3-27,,,2882000000,,,,609000000,,,-790000000,,,,110000000,2092000000,104000000,48994000000,3000000,CNY,合并,年度报告,10008350,年度报告,76679000000,,1571000000,702000000,161000000,,-790000000
723950916.3,874723.04,2019-12-31,581527983.9,,240326605.3,2019-1-1,2019-12-31,-986071.46,13554051.69,178723897.2,685995.75,2024093.26,172358260.4,0.1467,142422932.5,723950916.3,762357407.4,760251881.1,927603459.9,529900030.5,926917464.2,1755654631,993297223.3,,411641974.9,,581527983.9,,2020-4-28,2980249.39,114845884.7,355172490,,0.1467,2020-4-28,4904916.6,,,,,,,,,142422932.5,,,,,142422932.5,2400000,581527983.9,-13767.25,CNY,合并,年度报告,10005509,年度报告,444938224.5,,,,,,142422932.5
12663972000,17928000,2019-12-31,12453477000,,21380053000,2019-1-1,2019-12-31,516491000,351995000,2326540000,572817000,179731000,931591000,1.42,210495000,12776996000,14938390000,14893041000,4617111000,8887355000,4044294000,32442262000,17503872000,113024000,5761303000,37225000,12566501000,113024000,2020-4-30,63277000,33855715000,55235768000,12840000,1.42,2020-4-30,135611000,,248039000,,,,,,,-37544000,16976000,,,,210495000,130892000,12566501000,1558000,CNY,合并,年度报告,10009846,年度报告,8091686000,,303100000,-72037000,16000,,-37544000
21836000000,168000000,2019-12-31,21905000000,,64561000000,2019-1-1,2019-12-31,,890000000,5448000000,3065000000,192000000,823000000,1.37,-69000000,22046000000,27497000000,27563000000,21081000000,25920000000,18016000000,84734000000,57237000000,210000000,1231000000,154000000,22115000000,210000000,2020-4-17,102000000,63876000000,1.28437E+11,-132000000,1.37,2020-4-17,22000000,,386000000,,,,,386000000,,-455000000,,,,,-69000000,28000000,22115000000,15000000,CNY,合并,年度报告,10007156,年度报告,30251000000,,,,,,-455000000
22822000000,117000000,2019-12-31,21441000000,,49579000000,2019-1-1,2019-12-31,141000000,546000000,3556000000,1179000000,142000000,56000000,0.98,1383000000,22974000000,25351000000,25147000000,8565000000,14667000000,7386000000,63129000000,37778000000,152000000,5824000000,,21591000000,150000000,2020-4-28,321000000,61161000000,1.1074E+11,142000000,0.98,2020-4-28,18000000,,1089000000,,,,,,,292000000,174000000,,,2000000,1381000000,,21591000000,,CNY,合并,年度报告,10008249,年度报告,22547000000,,252000000,663000000,1000000,,292000000
14820739000,21824000,2019-12-31,13714237000,,19563830000,2019-1-1,2019-12-31,,257339000,1427049000,697239000,36159000,2016141000,2.41,1106502000,14897346000,15289556000,15217893000,8480938000,12037744000,7783699000,35081391000,19791835000,76607000,6540530000,,13790844000,76607000,2020-4-25,93487000,25590047000,45153877000,-904238000,2.41,2020-4-25,35515000,,1100880000,,,,,,,5622000,,,,,1106502000,39811000,,5459000,CNY,合并,年度报告,10034047,年度报告,7461237000,930592000,,170288000,,,5622000
1066909000,6147000,2019-12-31,913227000,,2931225000,2019-1-1,2019-12-31,,29987000,89099000,77537000,4011000,-27356000,0.51,153682000,1068709000,1002519000,1004126000,205502000,1218476000,127965000,3520840000,2518321000,1800000,459985000,,915027000,1800000,2020-4-24,4540000,2126270000,5057495000,12628000,0.47,2020-4-24,,,104654000,,,,,40538000,,49028000,4595000,,,,153682000,9749000,915027000,2633000,CNY,合并,年度报告,10116499,年度报告,1269858000,,37516000,22005000,,,49028000
5897474000,9871000,2019-12-31,5800431000,,12088202000,2019-1-1,2019-12-31,,143080000,357662000,362229000,11380000,-33067000,1.72,95807000,6093696000,6349150000,6355551000,1330129000,3858425000,967900000,14668044000,8318894000,196222000,1606782000,,5997889000,197458000,2020-4-28,3470000,13219506000,25307708000,3130000,1.72,2020-4-28,,,51495000,,,,,,,45548000,,,,-1236000,97043000,23644000,,73000,CNY,合并,年度报告,10035531,年度报告,4317389000,,56326000,-4831000,,,45548000
,34816000,2019-12-31,6602123000,,15613121000,2019-1-1,2019-12-31,7016000,182561000,714155000,249756000,10109000,-104887000,1.19,18636000,6620759000,7308573000,7316278000,1914962000,6146999000,1665206000,21408739000,14100166000,,4072589000,,6602123000,,2020-4-30,27111000,23170402000,38783523000,136945000,1.19,2020-4-30,7154000,,-16014000,,,,,,,34650000,1479000,,,,18636000,16020000,6602123000,-364000,CNY,合并,年度报告,10065741,年度报告,7763452000,,-39425000,21932000,-5071000,,34650000
1310197000,3088000,2020-12-31,1249624000,,2964447000,2019-1-1,2019-12-31,104952000,28212000,200869000,46744000,4602000,23282000,0.68,60573000,1312525000,1461892000,1452821000,139140000,1048363000,92396000,3539711000,2077819000,2328000,446767000,,1251952000,2328000,2021-3-30,12159000,3648333000,6612780000,4347000,0.59,2020-3-28,1572000,,60573000,,,,,,,,30306000,,,,60573000,3870000,1251952000,,CNY,合并,年度报告,10068001,年度报告,999672000,,46542000,-16275000,18608000,,
13751953000,19393000,2019-12-31,14618609000,,25536657000,2019-1-1,2019-12-31,,526780000,655707000,271675000,49629000,-183011000,1.18,-866656000,14093123000,15678830000,15615486000,6294589000,11530571000,6022914000,44974014000,29295184000,341170000,12971956000,,14959779000,341170000,2020-4-11,82737000,55825418000,81362075000,342602000,1.04,2020-4-11,21913000,,-875626000,,,,,,,8970000,,,,,-866656000,131133000,,102134000,CNY,合并,年度报告,10101081,年度报告,17215920000,,-947457000,71831000,,,8970000
21706728000,240460000,2019-12-31,20297588000,,30320609000,2019-1-1,2019-12-31,,470956000,2044230000,841156000,109209000,1363173000,1.36,1409140000,21741999000,22230413000,22377089000,7408355000,9948556000,6567199000,49800292000,27569879000,35271000,11075168000,,20332859000,35271000,2020-4-25,93784000,48290486000,78611095000,306655000,1.36,2020-4-25,1266000,,1482804000,,,,75172000,,,-73664000,,,,,1409140000,66764000,20332859000,-8485000,CNY,合并,年度报告,10008384,年度报告,17149101000,,112883000,1294749000,,,-73664000
1900422000,7067000,2020-12-31,1785255000,,5799880000,2019-1-1,2019-12-31,44000000,40275000,373704000,124203000,9960000,7483000,0.69,115167000,2014809000,2277204000,2273346000,338462000,2464733000,214259000,6445045000,4167841000,114387000,335678000,2423000,1899642000,114387000,2021-3-31,10925000,3668866000,9468746000,22261000,0.66,2020-4-23,,,-15749000,,,,,-17564000,,130916000,1815000,,,,115167000,49550000,1899642000,5974000,CNY,合并,年度报告,10065740,年度报告,1660410000,,,,2473000,,130916000
5588960000,7286000,2019-12-31,5550900000,,10321057000,2019-1-1,2019-12-31,67444000,105065000,671625000,88814000,21562000,41667000,1.54,38060000,5593813000,6233883000,6227378000,515853000,3374837000,427039000,12725060000,6491177000,4853000,1868643000,,5555753000,4853000,2020-4-29,13791000,10252038000,20573095000,33280000,1.54,2020-4-29,,,56014000,-17954000,,,,56223000,,-17954000,-209000,,,,38060000,11812000,5555753000,,CNY,合并,年度报告,10037583,年度报告,3011275000,,,,,,
976792379.6,3325600.79,2019-12-31,954163494.7,,3182661677,2019-1-1,2019-12-31,98521755.05,25270097.32,28423890.45,123172282.3,6801538.63,57559110.99,0.53,22628884.87,960024379.7,966525944.4,965819385.3,130461208,1200019652,7288925.64,3852844596,2886318652,-16767999.84,510786396.5,3947540.28,937395494.9,-16767999.84,2020-4-28,4032159.82,2446920178,5629581855,17248730.3,0.46,2020-4-28,,,-13594531.86,,,,,154649.96,,36223416.73,-2527000.94,,,,22628884.87,22036340,937395494.9,48461876.85,CNY,合并,年度报告,10063621,年度报告,1657081362,,29829539.83,-41051720.71,,,36223416.73
1076606000,5500000,2019-12-31,1012687000,,2472439000,2019-1-1,2019-12-31,,27034000,100821000,28257000,18250000,54643000,0.4971,64064000,1075841000,1141141000,1112598000,127222000,1077782000,98965000,3404346000,2263205000,-765000,740949000,,1011777000,-910000,2020-3-31,34043000,2490558000,4962997000,16503000,0.4396,2020-3-31,11002000,,63919000,,,,,,,,,,,145000,63919000,2389000,1011777000,208000,CNY,合并,年度报告,10120308,年度报告,1147387000,,5450000,58469000,,,
,2421580.25,2020-12-31,1583267673,7737344.38,2609598302,2019-1-1,2019-12-31,,5641448.53,528520326.8,50206203.91,685733.15,,0.53,,1583267673,2111432999,2111788000,496298979.1,261215252.1,446092775.2,3065629677,954196678.3,,,3494225.2,1583267673,,2021-3-25,2066579.37,1890505681,4500103983,,0.53,2020-4-30,652884.13,,,,,,,,,,,,,,,1515522.47,,,CNY,合并,年度报告,10097203,年度报告,683192868.3,,,,,,
